nome,telefone,telefone_formatado,já_foi_abordado
Dra. Bárbara Cardoso - Espaço Oral,(63) 99257-5676 ,5563992575676,Não
Dra. Mariane Costa Rocha - Odontologia Estética,(63) 99255-6865 ,5563992556865,Não
Estética Dental Ysabella Cunha,(63) 99311-1497 ,5563993111497,Não
Dra. Jessica Guimarães Dias,(63) 99120-6236 ,5563991206236,Não
Puerro Dentistas,(63) 99277-6556 ,5563992776556,Não
Espaço perfecta clínica de estética facial e corporal,(63) 99221-7561 ,5563992217561,Não
OdontoCompany Araguaina,(63) 99267-1640 ,5563992671640,Não
Instituto Catini Fonseca,(63) 99285-4009 ,5563992854009,Não
Dra. Dayana - Odonto Harmony,(63) 99252-2648 ,5563992522648,Não
OdontoCompany Jacareí,(12) 3354-0327 ,551233540327,Não
Clínica Odonto Patrícia Mello,(12) 3953-4065 ,551239534065,Não
Orthoville Odontologia e Estética,(12) 99713-1713 ,5512997131713,Não
Toledo Odontologia,(12) 98818-1213 ,5512988181213,Não
OdontoCompany Jacareí,(12) 3354-0327 ,551233540327,Não
Toledo Odontologia,(12) 98818-1213 ,5512988181213,Não
Dra Luiza Biagi,(12) 99247-9127 ,5512992479127,Não
Ateliê Odontológico Pecci & Perali,(12) 3956-4384 ,551239564384,Não
Monteiro Ortho - Clínica Odontológica,(12) 99784-7547 ,5512997847547,Não
Dentista Octávio Pagano Jr,(12) 99733-7375 ,5512997337375,Não
Consultório Dra Iochabel Lucena,(12) 99209-8583 ,5512992098583,Não
Dra. Ana Paula Fortes,(12) 99605-3732 ,5512996053732,Não
+ sorriso,(12) 98821-5011 ,5512988215011,Não
Viva Sorriso Odontologia Especializada,(12) 3952-6214 ,551239526214,Não
Chaves Odontologia,(12) 3951-0551 ,551239510551,Não
Odontolyss Consultório Odontológico,(12) 3962-4079 ,551239624079,Não
Retratti Odontologia,(12) 98184-2591 ,5512981842591,Não
Dentista Karina Reis,(12) 98702-9111 ,5512987029111,Não
NIB - Núcleo Integrado Bonventi,(12) 3951-0574 ,551239510574,Não
Dr. Marco Antonio de Godoy | Sedação Consciente | Dentista | Sedação com Óxido Nitroso,(12) 3953-7060 ,551239537060,Não
Clínica Dentistas Jacareí,(12) 99191-0184 ,5512991910184,Não
Clínica ortoplait,(12) 2012-0990,551220120990,Não
Odontologia Pátio Cotia,(11) 98961-5564 ,5511989615564,Não
Dra. Meire Akemi Matunaga - Cirugiã Dentista,(11) 98971-5989 ,5511989715989,Não
Orto Smart,(11) 4551-3259 ,551145513259,Não
Clinica Odontológica Cotia,(11) 4616-2024 ,551146162024,Não
Clinica Odontologica,(11) 4243-9263 ,551142439263,Não
Clínica Sorriso Cotia,(11) 4616-0893 ,551146160893,Não
ODONTOHEALTH CLINICA ODONTOLÓGICA,(11) 4243-4323 ,551142434323,Não
OdontoCompany,(11) 93314-8805 ,5511933148805,Não
Tartarelli Clinic Odontologia Especializada,(11) 4148-4605,551141484605,Não
ODONTOHEALTH CLINICA ODONTOLÓGICA,(11) 4243-4323 ,551142434323,Não
Arai Odontologia Especializada,(11) 97607-5767 ,5511976075767,Não
Sorriso do Povo | Dentista em Cotia,(11) 95491-7644 ,5511954917644,Não
Tartarelli Clinic Odontologia Especializada,(11) 4148-4605,551141484605,Não
Clinica odontológica Odonto Vida,(11) 4148-7243 ,551141487243,Não
DentisTop Clínica Odontológica,(11) 95577-9714 ,5511955779714,Não
Dentista Popular Senador Feijó,(11) 4614-4986 ,551146144986,Não
Dra Tatiane Nicolau,(11) 97836-5439 ,5511978365439,Não
Clínica Odontológica de Cotia,(11) 4148-2192 ,551141482192,Não
Odontologia Dra. Cássia,(11) 96606-6375 ,5511966066375,Não
Clínica Prime Care,(11) 4702-6857 ,551147026857,Não
Odontologia Claudia Branco,(11) 93728-2021 ,5511937282021,Não
Belo Sorriso Odontologia,(11) 98035-0443 ,5511980350443,Não
Longhi Odontologia,(11) 97896-1972 ,5511978961972,Não
Dra. Letícia Morais - Odontologia e Harmonização Orofacial,(11) 94228-2701 ,5511942282701,Não
Dra Priscila | Instituto Odonto Veni - Implante dentário | Facetas | Clareamento,(11) 97417-1220 ,5511974171220,Não
AT Clinic – Dra. Alexia Tainara,(11) 98938-8001 ,5511989388001,Não
ODONTO LEAL - Clínica Odontológica e Estética Corporal Avançada,(11) 99460-8151 ,5511994608151,Não
Dra. Mariana Aguiar,(11) 99554-2624 ,5511995542624,Não
Clínica Odontológica Santa Cecília,(11) 4243-1069 ,551142431069,Não
Consultório Revitalize odontologia e estética avançada,(11) 4616-4419 ,551146164419,Não
Inova Odonto Cotia,(11) 98160-0101 ,5511981600101,Não
Mohara Clínica Dentaria,(11) 4148-4605,551141484605,Não
Ms odontologia,(11) 91232-8807 ,5511912328807,Não
Ms odontologia,(11) 91232-8807 ,5511912328807,Não
Ms odontologia,(11) 91232-8807 ,5511912328807,Não
Ms odontologia,(11) 91232-8807 ,5511912328807,Não
Pamella Passero Odontologia,(11) 97846-7055 ,5511978467055,Não
Pamella Passero Odontologia,(11) 97846-7055 ,5511978467055,Não
Magayama odontologia,(11) 93489-6478 ,5511934896478,Não
Dra. Cecilia Calil - Cirurgiã Dentista - Odontologia,(11) 97416-3742 ,5511974163742,Não
Dra. Maria Cristina Eiko Hashimoto,(11) 4702-8771 ,551147028771,Não
Odonto Garden,(11) 93801-0748 ,5511938010748,Não
Reviver Odontologia,(11) 99290-7475 ,5511992907475,Não
Vieira & Figueiredo Odontologia Humanizada,(11) 97248-9147 ,5511972489147,Não
OdontoVeni,(11) 97417-1220 ,5511974171220,Não
Laboratório D'Paula - prótese dentaria e orto,(11) 97158-3767 ,5511971583767,Não
Clínica Dantis Odontologia,(11) 4614-2324 ,551146142324,Não
Consultório Dr. Cesar Pithon,(11) 97349-4444 ,5511973494444,Não
Dra Victoria Barros,(11) 96051-0530 ,5511960510530,Não
Dr. Marcos Jordão odontologia,(11) 97668-3398 ,5511976683398,Não
Dra. Andreza Coelho Corrêa,(11) 97803-6315 ,5511978036315,Não
Dr Matheus Guerra - Cirurgião Dentista,(35) 98419-5861 ,5535984195861,Não
Cirurgiã-Dentista em Passos MG | Dra. Giovanna Zillio Paschoini,(35) 99163-5454 ,5535991635454,Não
Clínica Sorriso Minas - Atendimento Odontológica com Excelência em Passos - MG,(35) 3413-3333 ,553534133333,Não
Assunção e Pádua - Odontologia em Passos-MG,(35) 98801-1788 ,5535988011788,Não
Dra. Amanda Vieira - Clínica Lumos,(35) 99924-4720 ,5535999244720,Não
Clínica Sorriso Minas - Atendimento Odontológica com Excelência em Passos - MG,(35) 3413-3333 ,553534133333,Não
Vieira Prado Odontologia Especializada - Dr Guilherme Vieira Prado (CRO 34159),(35) 99267-4000 ,5535992674000,Não
Clínica Odontológica Odonto Marques,(35) 3521-7678 ,553535217678,Não
Dra Iácara Freitas | Odontopediatria | Dentista de Criança | Passos MG,(35) 99820-1824 ,5535998201824,Não
Oral Saúde Passos,(35) 99777-6526 ,5535997776526,Não
Consultório Odontológico Dra. Cristiane Maria Giacomelli em Passos,(35) 98884-4950 ,5535988844950,Não
Dr Bruno Lemos Pinto Alonso,(35) 98840-0003 ,5535988400003,Não
"Dra Leticia Alves, PASSOS MG - DENTISTA. Atendimentos na hora",(35) 99776-1653 ,5535997761653,Não
Passos Odontologia,(35) 3521-2840 ,553535212840,Não
Dr. Dêner Cândido - Dentista - Passos-MG,(35) 99976-6033 ,5535999766033,Não
Nova Dental,(35) 3526-8975 ,553535268975,Não
Clínica Virtus - Odontologia e Harmonização Facial,(35) 3413-3361 ,553534133361,Não
Conceitto Odontologia Especializada,(35) 99844-0181 ,5535998440181,Não
PP Odontologia,(35) 3521-3150 ,553535213150,Não
Oral Clean - Clínica Odontológica,(35) 99936-2401 ,5535999362401,Não
Marcelo Maldi de Oliveira,(35) 3521-6377 ,553535216377,Não
Clínica Odonto Vida,(35) 3526-4645 ,553535264645,Não
Gizzele Esper Kallas,(35) 3521-4926 ,553535214926,Não
"Clinica Odontologica Rede Mais - Passos, MG",(35) 3526-9676 ,553535269676,Não
"Clinica Odontologica Rede Mais - Passos, MG",(35) 3526-9676 ,553535269676,Não
"Consultório Odontológico Vila Rica Passos,MG",(35) 3521-3436 ,553535213436,Não
Bruno Toledo Instituto de Odontologia,(35) 3522-0819 ,553535220819,Não
Consultório Odontológico Dra. Marielly Cardoso Theodózio,(35) 98722-2208 ,5535987222208,Não
Clínica Espaço Sorriso Passos,(35) 3521-5555 ,553535215555,Não
Dra. Patrícia Urquiza - Odontopediatra/ Odontologia Inclusiva T21,(35) 98833-9695 ,5535988339695,Não
Dr Cherain,(35) 3522-7775 ,553535227775,Não
Odonto Riso Odontologia,(35) 98883-1788 ,5535988831788,Não
Consultório Dra Mônica Lemos,(35) 3521-6423 ,553535216423,Não
Randolfo L Vasconcelos Jr,(35) 3521-7087 ,553535217087,Não
Leonardo Calixto Lemos Odontologia,(35) 98854-1126 ,5535988541126,Não
Tulius R Esper,(35) 3521-6516 ,553535216516,Não
Consultório Odontológico Dra. Luana Faria Freire,(35) 99950-4073 ,5535999504073,Não
Luiz Fernando Lemos Reis,(35) 98421-8930 ,5535984218930,Não
Cássio Henriques Brandão,(35) 99729-1116 ,5535997291116,Não
A|V CONSULTÓRIO ODONTOLÓGICO,(35) 3526-9234 ,553535269234,Não
Consultório Odontológico Dr. Rogério Leite,(35) 3521-4984 ,553535214984,Não
Baldini Lanzoni Odontologia,(35) 99716-2019 ,5535997162019,Não
Consultório Odontológico Dra. Tayná Fernandes,(35) 99930-1548 ,5535999301548,Não
Maria M V B Lemos,(35) 3521-3436 ,553535213436,Não
Clínica Bruna Carvalho,(85) 98457-9919 ,5585984579919,Não
Dra. Luara Neves,(85) 99144-0660 ,5585991440660,Não
Dentista Do Povo,(85) 98689-0974 ,5585986890974,Não
Odonto Dentistas,(85) 98893-9173 ,5585988939173,Não
"Dr. Roberto Rêgo, Cirurgião Buco-Maxilo-Facial",(85) 98895-2060 ,5585988952060,Não
Clínica Ortho Cirúrgica - Dr Nonato Maia Cirurgião Bucomaxilofacial,(85) 98765-6395 ,5585987656395,Não
Buco - Maxilo - Facial do Hospital Batista,(85) 99103-8259 ,5585991038259,Não
Ambulatório de Cirurgia Bucomaxilofacial - UFC/HUWC,(85) 3366-8415 ,558533668415,Não
Ambulatório de Cirurgia Bucomaxilofacial - UFC/HUWC,(85) 3366-8415 ,558533668415,Não
Dr. Lécio Pitombeira | Especialista Bucomaxilofacial,(85) 3267-3056 ,558532673056,Não
Dr. Roni Lima,(85) 98424-2054 ,5585984242054,Não
