nome,instagram,já_foi_abordado
drarenatasimoes,https://www.instagram.com/drarenatasimoes/,Sim
dra.samanthamarques,https://www.instagram.com/dra.samanthamarques/,Sim
drajulianalimafp,https://www.instagram.com/drajulianalimafp/,Sim
drvictormlora,https://www.instagram.com/drvictormlora/,Sim
draericadarochabastos,https://www.instagram.com/draericadarochabastos/,Sim
drasimoneandrade,https://www.instagram.com/drasimoneandrade/,Sim
maisonesteticaavancada,https://www.instagram.com/maisonesteticaavancada/,Sim
dracassiacruz,https://www.instagram.com/dracassiacruz/,Sim
dra.mayarasantos_,https://www.instagram.com/dra.mayarasantos_/,Sim
renovare.esteticaesaude,https://www.instagram.com/renovare.esteticaesaude/,Sim
draludmillacardoso,https://www.instagram.com/draludmillacardoso/,Sim
dramarinaciuffo,https://www.instagram.com/dramarinaciuffo/,Sim
institutocamilanascimento,https://www.instagram.com/institutocamilanascimento/,Sim
ortorisus,https://www.instagram.com/ortorisus/,Sim
clinicaodontologicahortolandia,https://www.instagram.com/clinicaodontologicahortolandia/,Sim
sandrarodriguesodontologia,https://www.instagram.com/sandrarodriguesodontologia/,Sim
dra_fernandamoretto,https://www.instagram.com/dra_fernandamoretto/,Sim
sorrisoodontohortolandia,https://www.instagram.com/sorrisoodontohortolandia/,Sim
dra.taina_alves,https://www.instagram.com/dra.taina_alves/,Sim
drapaulamateus,https://www.instagram.com/drapaulamateus/,Sim
odontoclinic.hortolandia,https://www.instagram.com/odontoclinic.hortolandia/,Sim
beladuoontologia,https://www.instagram.com/beladuoontologia/,Sim
martinesodontologia,https://www.instagram.com/martinesodontologia/,Sim
dr.daniel_carvalho_buco,https://www.instagram.com/dr.daniel_carvalho_buco/,Sim
drrodrigoacioly,https://www.instagram.com/drrodrigoacioly/,Sim
silvanaruizbmf,https://www.instagram.com/silvanaruizbmf/,Sim
drleandropraia,https://www.instagram.com/drleandropraia/,Sim
drjosepaulo,https://www.instagram.com/drjosepaulo/,Sim
odontologia_draanapaulaoficial,https://www.instagram.com/odontologia_draanapaulaoficial/,Sim
dr.marcelo.shiwa,https://www.instagram.com/dr.marcelo.shiwa/,Sim
drjuntanakabucomaxilo,https://www.instagram.com/drjuntanakabucomaxilo/,Sim
gustavoboehmer,https://www.instagram.com/gustavoboehmer/,Sim
bucomaxilo.clinica,https://www.instagram.com/bucomaxilo.clinica/,Sim
drluisbucomaxilo,https://www.instagram.com/drluisbucomaxilo/,Sim
bucomaxilobr,https://www.instagram.com/bucomaxilobr/,Sim
dramariaclaraoliveirapenido,https://www.instagram.com/dramariaclaraoliveirapenido/,Sim
dra.rosanemagalhaes,https://www.instagram.com/dra.rosanemagalhaes/,Sim
nathaliadias_s,https://www.instagram.com/nathaliadias_s/,Sim
dras.medeiros,https://www.instagram.com/dras.medeiros/,Sim
dra.gabrielanunes,https://www.instagram.com/dra.gabrielanunes/,Sim
drhudsonroger,https://www.instagram.com/drhudsonroger/,Sim
dentistaclaradantas,https://www.instagram.com/dentistaclaradantas/,Sim
clinicadraanaclaraoliveira,https://www.instagram.com/clinicadraanaclaraoliveira/,Sim
spbucomaxilo,https://www.instagram.com/spbucomaxilo/,Sim
danilomussalem,https://www.instagram.com/danilomussalem/,Sim
angelos.bucomaxilo,https://www.instagram.com/angelos.bucomaxilo/,Sim
espaco.inove,https://www.instagram.com/espaco.inove/,Sim
implantsprime,https://www.instagram.com/implantsprime/,Sim
anabertilia,https://www.instagram.com/anabertilia/,Sim
albuquerqueodontologiape,https://www.instagram.com/albuquerqueodontologiape/,Sim
drguilhermerebelatto,https://www.instagram.com/drguilhermerebelatto/,Sim
a3odontologia,https://www.instagram.com/a3odontologia/,Sim
drsamuelnypon,https://www.instagram.com/drsamuelnypon/,Sim
multisaudegus,https://www.instagram.com/multisaudegus/,Sim
dr.thiagoreino,https://www.instagram.com/dr.thiagoreino/,Sim
dracamilaandrade,https://www.instagram.com/dracamilaandrade/,Sim
odontocenterps,https://www.instagram.com/odontocenterps/,Sim
dra_lucianacristina,https://www.instagram.com/dra_lucianacristina/,Sim
bassi_endodontia,https://www.instagram.com/bassi_endodontia/,Sim
orthodonticbalneario,https://www.instagram.com/orthodonticbalneario/,Sim
gugazanardi,https://www.instagram.com/gugazanardi/,Sim
gabrielaoliveira.ortodontia,https://www.instagram.com/gabrielaoliveira.ortodontia/,Sim
orthodonticbalneariocamboriu,https://www.instagram.com/orthodonticbalneariocamboriu/,Sim
gabigouvea.orto,https://www.instagram.com/gabigouvea.orto/,Sim
marielacomar.ortodontia,https://www.instagram.com/marielacomar.ortodontia/,Sim
dra.elisbattisti,https://www.instagram.com/dra.elisbattisti/,Sim
juliaabortoli,https://www.instagram.com/juliaabortoli/,Sim
dentalarapiraca,https://www.instagram.com/dentalarapiraca/,Sim
odontoarapiraca,https://www.instagram.com/odontoarapiraca/,Sim
odontocare.arapiraca,https://www.instagram.com/odontocare.arapiraca/,Sim
odontoexcellencearapiraca,https://www.instagram.com/odontoexcellencearapiraca/,Sim
institutobarrozo,https://www.instagram.com/institutobarrozo/,Sim
odonto_logica.arapiraca,https://www.instagram.com/odonto_logica.arapiraca/,Sim
institutomoraesodontologia,https://www.instagram.com/institutomoraesodontologia/,Sim
ortoestetica.campogrande,https://www.instagram.com/ortoestetica.campogrande/,Sim
cotafonsopena,https://www.instagram.com/cotafonsopena/,Sim
clinicaflowe,https://www.instagram.com/clinicaflowe/,Sim
proortocg,https://www.instagram.com/proortocg/,Sim
fbcliniquecg,https://www.instagram.com/fbcliniquecg/,Sim
dr.rodrigozonta,https://www.instagram.com/dr.rodrigozonta/,Sim
petiscariachoperiaimperial,https://www.instagram.com/petiscariachoperiaimperial/,Sim
ioa.campogrande,https://www.instagram.com/ioa.campogrande/,Sim
hofclinic.campogrande,https://www.instagram.com/hofclinic.campogrande/,Sim
vitalpoliclinica,https://www.instagram.com/vitalpoliclinica/,Sim
dra.adriellyduarte,https://www.instagram.com/dra.adriellyduarte/,Sim
amandaleticia.dentista,https://www.instagram.com/amandaleticia.dentista/,Sim
apenassorriamarituba,https://www.instagram.com/apenassorriamarituba/,Sim
byapinheiro_,https://www.instagram.com/byapinheiro_/,Sim
dranazaresoares,https://www.instagram.com/dranazaresoares/,Sim
drajenniferkyssya,https://www.instagram.com/drajenniferkyssya/,Sim
coifeodonto.marituba,https://www.instagram.com/coifeodonto.marituba/,Sim
dragabimonteirodentista,https://www.instagram.com/dragabimonteirodentista/,Sim
saudonto,https://www.instagram.com/Saudonto/,Sim
lente_contato_dental,https://www.instagram.com/lente_contato_dental/,Sim
nioprime,https://www.instagram.com/nioprime/,Sim
drleandropetenuci,https://www.instagram.com/drleandropetenuci/,Sim
sorriamaisvotorantim,https://www.instagram.com/sorriamaisvotorantim/,Sim
oralsinvotorantim,https://www.instagram.com/oralsinvotorantim/,Sim
draisabelleparaujo,https://www.instagram.com/draisabelleparaujo/,Sim
draelizabethdenize,https://www.instagram.com/draelizabethdenize/,Sim
bioimplantesjp,https://www.instagram.com/bioimplantesjp/,Sim
torre.dental,https://www.instagram.com/torre.dental/,Sim
drapricilapereira,https://www.instagram.com/drapricilapereira/,Sim
draluanaduarte,https://www.instagram.com/draluanaduarte/,Sim
dralaisacastro,https://www.instagram.com/dralaisacastro/,Sim
preventkids,https://www.instagram.com/preventkids/,Sim
ed.odontologiaintegrada,https://www.instagram.com/ed.odontologiaintegrada/,Sim
alyssonporto,https://www.instagram.com/alyssonporto/,Sim
thays.dentist,https://www.instagram.com/thays.dentist/,Sim
belosorriso.ds,https://www.instagram.com/belosorriso.ds/,Sim
supremaodonto22,https://www.instagram.com/supremaodonto22/,Sim
clinicaodontologicasaomateus_,https://www.instagram.com/clinicaodontologicasaomateus_/,Sim
consultoriorisoodonto,https://www.instagram.com/consultoriorisoodonto/,Sim
clianderlei,https://www.instagram.com/clianderlei/,Sim
clisamcentromedico,https://www.instagram.com/clisamcentromedico/,Sim
orthophd,https://www.instagram.com/orthophd/,Sim
orthodontic_jequie,https://www.instagram.com/orthodontic_jequie/,Sim
intelectusjequie,https://www.instagram.com/intelectusjequie/,Sim
odcmogidascruzes,https://www.instagram.com/odcmogidascruzes/,Sim
clinicavivere.mogi,https://www.instagram.com/clinicavivere.mogi/,Sim
clinicasantemogi,https://www.instagram.com/clinicasantemogi/,Sim
clinicasalutecare,https://www.instagram.com/clinicasalutecare/,Sim
multimedice,https://www.instagram.com/MultiMedice/,Sim
ctclin,https://www.instagram.com/ctclin/,Sim
virtuosamogidascruzes,https://www.instagram.com/virtuosamogidascruzes/,Sim
imed.mogi,https://www.instagram.com/imed.mogi/,Sim
dravitoriadoliveira,https://www.instagram.com/dravitoriadoliveira/,Sim
drastefaniarodrigues,https://www.instagram.com/drastefaniarodrigues/,Sim
amoa_clinic,https://www.instagram.com/amoa_clinic/,Sim
clinicavitoriaoliveira,https://www.instagram.com/clinicavitoriaoliveira/,Sim
orletedonato,https://www.instagram.com/orletedonato/,Sim
cuidaresapucaia,https://www.instagram.com/cuidaresapucaia/,Sim
sorrifacil_cachoeirinha,https://www.instagram.com/sorrifacil_cachoeirinha/,Sim
drathaisrochette,https://www.instagram.com/drathaisrochette/,Sim
oralsincachoeirinha,https://www.instagram.com/oralsinCachoeirinha/,Sim
espacosorrir.cachoeirinha,https://www.instagram.com/espacosorrir.cachoeirinha/,Sim
centroodontologicocachoeirinha,https://www.instagram.com/centroodontologicocachoeirinha/,Sim
drasarah.periodontia,https://www.instagram.com/drasarah.periodontia/,Sim
lucianaalmeida.periodontia,https://www.instagram.com/lucianaalmeida.periodontia/,Sim
odontoexcellencetc,https://www.instagram.com/odontoexcellencetc/,Sim
donna.clinica,https://www.instagram.com/donna.clinica/,Sim
dra.luisadanjos,https://www.instagram.com/dra.luisadanjos/,Sim
dr.do.sorrisoananindeua,https://www.instagram.com/dr.do.sorrisoananindeua/,Sim
ortodoctor.odontologia,https://www.instagram.com/ortodoctor.odontologia/,Sim
oralpopananindeua,https://www.instagram.com/oralpopananindeua/,Sim
oralcleanodonto,https://www.instagram.com/oralcleanodonto/,Sim
dramonicaamaral,https://www.instagram.com/dramonicaamaral/,Sim
oralmed.odonto,https://www.instagram.com/oralmed.odonto/,Sim
odontosaobenedito,https://www.instagram.com/odontosaobenedito/,Sim
odontopeixotoapucarana,https://www.instagram.com/odontopeixotoapucarana/,Sim
tecnodonto.apucarana,https://www.instagram.com/tecnodonto.apucarana/,Sim
oralclin.apu,https://www.instagram.com/oralclin.apu/,Sim
odontoapucaranaaviacao,https://www.instagram.com/odontoapucaranaaviacao/,Sim
odontoclinic.apucarana,https://www.instagram.com/odontoclinic.apucarana/,Sim
odontologia.humanizar,https://www.instagram.com/odontologia.humanizar/,Sim
ortomasterapucarana,https://www.instagram.com/ortomasterapucarana/,Sim
carvalhofernandesodonto,https://www.instagram.com/carvalhofernandesodonto/,Sim
